siren;name;codeNAF;employeesCategory;address;position
000325175;;32.12Z;;MANIHI COTE MONTAGNE TUAMOTU, 98770 MANIHI;[2.3522,48.8566]
000325175;;32.12Z;;1 PLACE LEONCE DE SEYNES, 84000 AVIGNON;[2.3522,48.8566]
000325175;;32.12Z;;6 AVENUE FRANCOIS MAURIAC, 84000 AVIGNON;[2.3522,48.8566]
000325175;;32.12Z;;170 AVENUE DU COL DE L’ANGE, 13420 GEMENOS;[2.3522,48.8566]
000325175;;32.12Z;;61 RUE MARX DORMOY, 13004 MARSEILLE;[2.3522,48.8566]
000325175;;32.12Z;;51 RUE MARX DORMOY, 13004 MARSEILLE;[2.3522,48.8566]
001807254;;85.59A;;15 RUE D'INGLEMUR, 54200 TOUL;[2.3522,48.8566]
001807254;;85.59A;;31 RUE D'ALEMBERT, 02100 SAINT-QUENTIN;[2.3522,48.8566]
005410220;;22.02;;RUE DE HOUDENT, 80210 TOURS-EN-VIMEU;[2.3522,48.8566]
005410345;;79.06;;ROUTE DE DOULLENS, 80100 ABBEVILLE;[2.3522,48.8566]
005410394;;64.42;;CHE PETIT, 80120 ARGOULES;[2.3522,48.8566]
005410428;;70.2C;;68 CHAUSSEE MARCADE, 80100 ABBEVILLE;[2.3522,48.8566]
005410436;;57.11;;CHAUSSEE D'HOCQUET, 80100 ABBEVILLE;[2.3522,48.8566]
005410485;;64.42;;177 RUE GRANDE, 80220 GAMACHES;[2.3522,48.8566]
005410493;;86.06;;HAM DE HAMICOURT, 80210 TOURS-EN-VIMEU;[2.3522,48.8566]
005410501;;55.4B;;RUE DU FORT MARDI, 80150 VIRONCHAUX;[2.3522,48.8566]
005410519;;62.11;;10 RUE PASTEUR, 80550 LE CROTOY;[2.3522,48.8566]
005410527;;70.2C;;84 RUE PASTEUR, 80100 ABBEVILLE;[2.3522,48.8566]
005410543;;67.05;;ROUTE NATIONALE, 80860 NOUVION;[2.3522,48.8566]
005410642;;64.45;;1 RUE DE SAINT-VALERY, 80220 GAMACHES;[2.3522,48.8566]
005410667;;55.4B;;, 80132 MAREUIL-CAUBERT;[2.3522,48.8566]
005410675;;62.43;;, 80270 ALLERY;[2.3522,48.8566]
005410717;;65.06;;27 RUE SAINT JEAN, 80135 SAINT-RIQUIER;[2.3522,48.8566]
005410733;;57.03;;17 PETITE RUE NOTRE - DAME, 80100 ABBEVILLE;[2.3522,48.8566]
005410741;;64.42;;AV DE LA GARE, 80120 QUEND;[2.3522,48.8566]
005410758;;67.05;;CHAUSSEE MARCADE, 80100 ABBEVILLE;[2.3522,48.8566]
005410816;;38.40;;3 RUE DE L'ARQUET, 80370 HIERMONT;[2.3522,48.8566]
005410857;;62.11;;37 RUE PIERRE SAUVAGE, 80100 ABBEVILLE;[2.3522,48.8566]
005410873;;70.2C;;9 RUE CHARLES DE GAULLE, 80220 GAMACHES;[2.3522,48.8566]
005410899;;74.1J;;21 BOULEVARD VOLTAIRE, 80100 ABBEVILLE;[2.3522,48.8566]
005410949;A LA GRANDE FABRIQUE;64.11;;35 PLACE MAX LEJEUNE, 80100 ABBEVILLE;[2.3522,48.8566]
005410980;;67.07;;, 80132 MIANNAY;[2.3522,48.8566]
005411053;;65.03;;RUE D’ABBEVILLE, 80870 MOYENNEVILLE;[2.3522,48.8566]
005411236;;55.40;;RUE DU MOULIN, 80220 MAISNIERES;[2.3522,48.8566]
005411343;;50.1Z;;RUE DU GENERAL LECLERC, 80150 CRECY-EN-PONTHIEU;[2.3522,48.8566]
005411434;;65.02;;, 80120 FAVIERES;[2.3522,48.8566]
005411483;;62.41;;, 80150 CRECY-EN-PONTHIEU;[2.3522,48.8566]
005411582;;68.20B;;47 CHAUSSEE DU BOIS, 80100 ABBEVILLE;[2.3522,48.8566]
005411699;;57.03;;, 80150 CRECY-EN-PONTHIEU;[2.3522,48.8566]
005411806;;62.11;;RUE ALFRED FRANCOIS, 80100 ABBEVILLE;[2.3522,48.8566]
005411954;;38.50;;RUE JULES VERNE, 80550 LE CROTOY;[2.3522,48.8566]
005411962;;67.05;;, 80150 DOMVAST;[2.3522,48.8566]
005411996;;67.04;;10 AVENUE DE LA GARE, 80100 ABBEVILLE;[2.3522,48.8566]
005420013;SOCIETE D'APPROVISIONNEMENT REGIONAL;62.21;;264 CHAUSSEE D'HOCQUET, 80100 ABBEVILLE;[2.3522,48.8566]
005420021;ETABLISSEMENTS LUCIEN BIQUEZ;46.69B;;17 RUE DES LINGERS, 80100 ABBEVILLE;[2.3522,48.8566]
005420021;ETABLISSEMENTS LUCIEN BIQUEZ;46.69B;;RUE TUROLD, 76630 ENVERMEU;[2.3522,48.8566]
005420021;ETABLISSEMENTS LUCIEN BIQUEZ;46.69B;;134 RUE HENRI BARBUSSE, 80130 FRIVILLE-ESCARBOTIN;[2.3522,48.8566]
005420021;ETABLISSEMENTS LUCIEN BIQUEZ;46.69B;;52 RUE VENTOSE, 80100 ABBEVILLE;[2.3522,48.8566]
005420021;ETABLISSEMENTS LUCIEN BIQUEZ;46.69B;;21 BOULEVARD DES PRES, 80100 ABBEVILLE;[2.3522,48.8566]
005420039;LEGRAND PAUL;59.02;;3 PLACE DU PILORI, 80100 ABBEVILLE;[2.3522,48.8566]
005420047;SOCIETE ANONYME MARCEL CARON ET FILS;45.3F;;114 CHS MARCADE, 80100 ABBEVILLE;[2.3522,48.8566]
005420047;SOCIETE ANONYME MARCEL CARON ET FILS;45.3F;;2 RIVE DROITE DE LA SOMME, 80100 ABBEVILLE;[2.3522,48.8566]
005420054;ETABLISSEMENTS POUMAREDES ET MARTINET;28.6F;;54 RUE DES ECOLES, 80970 SAILLY-FLIBEAUCOURT;[2.3522,48.8566]
